# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.build.module.graph.ms,1774053842945000000,1774053884655000000,0
jps.global.initialize.library.bridges.after.loading.ms,1774053842945000000,1774053884655000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1774053842945000000,1774053884655000000,6
workspaceModel.moduleManagerBridge.newModule.ms,1774053842945000000,1774053884655000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1774053842945000000,1774053884655000000,10
jps.library.entities.serializer.save.entities.ms,1774053842945000000,1774053884655000000,0
workspaceModel.global.updates.ms,1774053842945000000,1774053884655000000,17
jps.global.handle.changed.events.ms,1774053842945000000,1774053884655000000,0
jps.save.global.entities.ms,1774053842945000000,1774053884655000000,65
workspaceModel.mutableEntityStorage.has.same.entities.ms,1774053842945000000,1774053884655000000,0
workspaceModel.load.cache.from.file.ms,1774053842945000000,1774053884655000000,1
jps.global.get.libraries.ms,1774053842945000000,1774053884655000000,24
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1774053842945000000,1774053884655000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1774053842945000000,1774053884655000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1774053842945000000,1774053884655000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1774053842945000000,1774053884655000000,0
workspaceModel.load.cache.metadata.from.file.ms,1774053842945000000,1774053884655000000,0
workspaceModel.save.cache.to.file.ms,1774053842945000000,1774053884655000000,73
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1774053842945000000,1774053884655000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1774053842945000000,1774053884655000000,1
jps.app.storage.content.writer.save.component.ms,1774053842945000000,1774053884655000000,45
workspaceModel.mutableEntityStorage.resolve.ms,1774053842945000000,1774053884655000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1774053842945000000,1774053884655000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1774053842945000000,1774053884655000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1774053842945000000,1774053884655000000,0
jps.global.get.library.by.name.ms,1774053842945000000,1774053884655000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1774053842945000000,1774053884655000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1774053842945000000,1774053884655000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1774053842945000000,1774053884655000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1774053842945000000,1774053884655000000,0
jps.library.entities.serializer.load.entities.ms,1774053842945000000,1774053884655000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1774053842945000000,1774053884655000000,1
workspaceModel.sync.entities.ms,1774053842945000000,1774053884655000000,0
jps.global.handle.before.change.events.ms,1774053842945000000,1774053884655000000,0
jps.global.initialize.library.bridges.ms,1774053842945000000,1774053884655000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1774053842945000000,1774053884655000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1774053842945000000,1774053884655000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1774053842945000000,1774053884655000000,0
workspaceModel.do.save.caches.ms,1774053842945000000,1774053884655000000,0
workspaceModel.global.apply.state.to.project.ms,1774053842945000000,1774053884655000000,0
jps.app.storage.content.reader.load.component.ms,1774053842945000000,1774053884655000000,1
workspaceModel.mutableEntityStorage.entities.ms,1774053842945000000,1774053884655000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1774053842945000000,1774053884655000000,2
workspaceModel.mutableEntityStorage.instances.count,1774053842945000000,1774053884655000000,5
workspaceModel.global.updates.count,1774053842945000000,1774053884655000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1774053842945000000,1774053884655000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1774053842945000000,1774053884655000000,0
jps.load.initial.state.ms,1774053842945000000,1774053884655000000,17
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1774053842945000000,1774053884655000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1774053842945000000,1774053884655000000,0
jps.global.get.library.ms,1774053842945000000,1774053884655000000,0
writeAction.median.wait.ms,1774053842945000000,1774053884655000000,0
writeAction.count,1774053842945000000,1774053884655000000,12
lexer.HTML.size.bytes,1774053842945000000,1774053884655000000,1
DiskQueryRelay.taskWaitingTotalTimeUs,1774053842945000000,1774053884655000000,433156
