# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.contentStorage.recordsRead,1774058480718000000,1774058540747000000,0
VFS.contentStorage.recordsDeduplicated,1774058480718000000,1774058540747000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1774058480718000000,1774058540747000000,0
VFS.contentStorage.recordsStored,1774058480718000000,1774058540747000000,0
VFS.contentStorage.recordsUncompressedSize,1774058480718000000,1774058540747000000,0
VFS.contentStorage.recordsReadDecompressed,1774058480718000000,1774058540747000000,0
VFS.contentStorage.recordsStoredCompressed,1774058480718000000,1774058540747000000,0
VFS.fileByIdCache.hits,1774058480718000000,1774058540747000000,0
VFS.contentStorage.recordsStoredSize,1774058480718000000,1774058540747000000,0
VFS.cache.segmentsCreated,1774058480718000000,1774058540747000000,1
FileNameCache.queries,1774058480718000000,1774058540747000000,192
VFS.rootsCount,1774058480718000000,1774058540747000000,1.0
VFS.cache.segments,1774058480718000000,1774058540747000000,1.0
FileNameCache.totalMisses,1774058480718000000,1774058540747000000,64
VFS.fileChildByName,1774058480718000000,1774058540747000000,87
VFS.cache.filesCreated,1774058480718000000,1774058540747000000,30
VFS.invertedFileNameIndex.requests,1774058480718000000,1774058540747000000,0
VFS.fileByIdCache.misses,1774058480718000000,1774058540747000000,0
VFS.cache.directoriesCreated,1774058480718000000,1774058540747000000,21
VFS.folderCaseSensitivityReads,1774058480718000000,1774058540747000000,0
VFS.contentStorage.recordsReadSize,1774058480718000000,1774058540747000000,0
writeAction.wait.ms,1774058480718000000,1774058540747000000,0
writeAction.count,1774058480718000000,1774058540747000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1774058480718000000,1774058540747000000,221941
writeAction.median.wait.ms,1774058480718000000,1774058540747000000,0
writeAction.max.wait.ms,1774058480718000000,1774058540747000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1774058480718000000,1774058540747000000,412664
DiskQueryRelay.tasksExecuted,1774058480718000000,1774058540747000000,19
DiskQueryRelay.tasksRequested,1774058480718000000,1774058540747000000,19
cacheStateStorage.get.counter,1774058480718000000,1774058540747000000,4
cacheStateStorage.get.duration,1774058480718000000,1774058540747000000,0
cacheStateStorage.set.counter,1774058480718000000,1774058540747000000,0
